region,subregion,year,forecast_stunting,slope_pp_per_year,trend_r2
Cameroon,Primary,2026,34.33000890471949,0.05231522707034727,0.06291749417365422
Cameroon,Primary,2028,34.434639358860196,0.05231522707034727,0.06291749417365422
Cameroon,Rural,2026,38.69919857524488,-0.008370436331255494,0.0015436943596992547
Cameroon,Rural,2028,38.68245770258237,-0.008370436331255494,0.0015436943596992547
Cameroon,Second,2026,39.969634906500445,0.0050756901157614515,0.0012348029731051868
Cameroon,Second,2028,39.97978628673197,0.0050756901157614515,0.0012348029731051868
Cameroon,Secondary,2026,22.417631344612637,-0.015850400712377533,0.001601414080374286
Cameroon,Secondary,2028,22.385930543187882,-0.015850400712377533,0.001601414080374286
Cameroon,Secondary or higher,2026,20.184505788067668,-0.07849510240427417,0.035838521142266155
Cameroon,Secondary or higher,2028,20.027515583259117,-0.07849510240427417,0.035838521142266155
Cameroon,Small,2026,34.58325912733744,-0.2026268922528939,0.308145086761655
Cameroon,Small,2028,34.17800534283168,-0.2026268922528939,0.308145086761655
Cameroon,Thin (BMI < 18.5),2026,43.31635150166851,0.0050055617352611995,0.00022268935055469452
Cameroon,Thin (BMI < 18.5),2028,43.326362625139026,0.0050055617352611995,0.00022268935055469452
Cameroon,Urban,2026,20.00160284951022,-0.18325912733748886,0.291053622519334
Cameroon,Urban,2028,19.63508459483529,-0.18325912733748886,0.291053622519334
Cameroon,Very small,2026,28.494122885129173,-0.6780498664292075,0.6966873627577624
Cameroon,Very small,2028,27.138023152270762,-0.6780498664292075,0.6966873627577624
Centre,Centre,2026,17.974888691006242,-0.2289403383793411,0.3541922945997811
Centre,Centre,2028,17.51700801424755,-0.2289403383793411,0.3541922945997811
Centre,Haute-Sanaga,2026,17.17670442515373,-0.8038270167266571,0.9687166053999773
Centre,Haute-Sanaga,2028,15.56905039170033,-0.8038270167266571,0.9687166053999773
Centre,Lekie,2026,14.412781887868732,-0.9299937605847223,0.9596622009641695
Centre,Lekie,2028,12.552794366699345,-0.9299937605847223,0.9596622009641695
Centre,Mbam-et-Inoubou,2026,15.095014326647515,-0.798720152817574,0.9701374804214753
Centre,Mbam-et-Inoubou,2028,13.497574021012497,-0.798720152817574,0.9701374804214753
Centre,Mbam-et-Kim,2026,15.398047954363165,-0.8282645512077723,0.9620531207500931
